title,authors,publisher,url,category,ISBN
クラスで２番目に可愛い女の子と友だちになった 1,尾野 凛,MFコミックス,https://sneakerbunko.jp/product/2ndheroine/322108000086.html,コミック,978-4046818812
ぬきたし -抜きゲーみたいな島に住んでるわたしはどうすりゃいいですか?- 1,まめおじたん、Qruppo,集英社,https://www.shueisha.co.jp/books/items/contents.html?isbn=978-4-08-892208-9,コミック,978-4-08-892208-9
ぬきたし -抜きゲーみたいな島に住んでるわたしはどうすりゃいいですか?- 2,まめおじたん、Qruppo,集英社,https://www.shueisha.co.jp/books/items/contents.html?isbn=978-4-08-892381-9,コミック,978-4-08-892381-9
ぬきたし -抜きゲーみたいな島に住んでるわたしはどうすりゃいいですか?- 3,まめおじたん、Qruppo,集英社,https://www.shueisha.co.jp/books/items/contents.html?isbn=978-4-08-892548-6,コミック,978-4-08-892548-6
リコリス・リコイル Ordinary days,アサウラ,KADOKAWA,https://dengekibunko.jp/product/322205000797.html,ライトノベル,9784049146189
プロジェクトセカイ カラフルステージ! feat. 初音ミク コミックアンソロジー,Various Artists,一迅社,https://pjsekai.sega.jp/anthology/index.html,コミック,978-4-7580-2311-5
Cによるアルゴリズムとデータ構造（改定２版）,茨木俊秀,オーム社,https://www.ohmsha.co.jp/book/9784274223914/,技術,978-4-274-22391-4
理工系の基礎線形代数学,硲野敏博、加藤芳文,学術図書出版社,https://www.gakujutsu.co.jp/product/978-4-87361-170-9/,数理,978-4-87361-170-9
B-CAS 事故 '8674422' 2012年テレビ視聴制限崩壊の真実,鳥取ループ,示現舎,https://amzn.asia/d/gtCxSXS,技術,978-4990578787
Pythonではじめるアルゴリズム入門 伝統的なアルゴリズムで学ぶ定石と計算量,増井敏克,翔泳社,https://www.shoeisha.co.jp/book/detail/9784798163239,技術,9784798163239
新・明解C言語 入門編,柴田望洋,SB Creative,https://www.sbcr.jp/product/4797377026/,技術,978-4-7973-7702-6
2020 基本情報技術者 午後試験対策書,アイテックIT人材教育研究部,アイテック,https://www.itec.co.jp/store/products/detail.php?product_id=3667,技術,978-4-86575-181-9
理工系学生のための微分積分―Webアシスト演習付," 桂利行、岡崎悦明、岡山友昭、齋藤夏雄、佐藤好久、田上真、廣門正行、廣瀬英雄",培風館,http://www.baifukan.co.jp/shoseki/kanren.html,数理,978-4-563-01209-0
今日から使える！組合せ最適化　離散問題ガイドブック,穴井宏和、斉藤努,講談社サイエンティフィク,https://www.kspub.co.jp/book/detail/1565449.html,数理,978-4-06-156544-9
超てんちゃん！ NEEDY GIRL OVERDOSE 公式アンソロジー,Various Artists,KADOKAWA,https://www.kadokawa.co.jp/product/322209000007/,コミック,9784046820167
ぼっち・ざ・ろっく！ (1),はまじあき,まんがタイムKRコミックス,https://amzn.asia/d/dMk6lY2,コミック," ‎ 978-4832270725"
マスタリング TCP/IP 入門編 第6版,井上直也、村山公保、竹下隆史、荒井透、苅田幸雄,オーム社,https://www.ohmsha.co.jp/book/9784274224478/,技術,978-4-274-22447-8
エロマンガ先生 (1),伏見つかさ,電撃文庫,https://dengekibunko.jp/product/eromanga/312143800000.html,ライトノベル,9784048669221
エロマンガ先生 (2),伏見つかさ,電撃文庫,https://dengekibunko.jp/product/eromanga/312059100000.html,ライトノベル,9784048665315
エロマンガ先生 (3),伏見つかさ,電撃文庫,https://dengekibunko.jp/product/eromanga/312148300000.html,ライトノベル,9784048669375
エロマンガ先生 (4),伏見つかさ,電撃文庫,https://dengekibunko.jp/product/eromanga/312222500000.html,ライトノベル,9784048693349
エロマンガ先生 (5),伏見つかさ,電撃文庫,https://dengekibunko.jp/product/eromanga/321505000265.html,ライトノベル,9784048653817
エロマンガ先生 (6),伏見つかさ,電撃文庫,https://dengekibunko.jp/product/eromanga/321511000588.html,ライトノベル,9784048658089
エロマンガ先生 (7),伏見つかさ,電撃文庫,https://dengekibunko.jp/product/eromanga/321604000445.html,ライトノベル,9784048922494
エロマンガ先生 (8),伏見つかさ,電撃文庫,https://dengekibunko.jp/product/eromanga/321609000574.html,ライトノベル,9784048925976
エロマンガ先生 (9),伏見つかさ,電撃文庫,https://dengekibunko.jp/product/eromanga/321703000505.html,ライトノベル,9784048929509
エロマンガ先生 (10),伏見つかさ,電撃文庫,https://dengekibunko.jp/product/eromanga/321803001696.html,ライトノベル,9784048939140
僕は友達が少ない,平坂読,MF文庫J,https://mfbunkoj.jp/product/haganai/301312001061.html,ライトノベル,9784040664637
僕は友達が少ない 2,平坂読,MF文庫J,https://mfbunkoj.jp/product/haganai/301312001062.html,ライトノベル,9784040664644
僕は友達が少ない 3,平坂読,MF文庫J,https://mfbunkoj.jp/product/haganai/301312001063.html,ライトノベル,9784040664651
さくら荘のペットな彼女,鴨志田一,電撃文庫,https://dengekibunko.jp/product/sakurasou/200912000186.html,ライトノベル,9784048682800
さくら荘のペットな彼女 2,鴨志田一,電撃文庫,https://dengekibunko.jp/product/sakurasou/201003000372.html,ライトノベル,9784048684637
クドリャフカの順番,米澤穂信,KADOKAWA,https://www.kadokawa.co.jp/product/200803000546/,ライトノベル,9784044271039
ふたりの距離の概算,米澤穂信,KADOKAWA,https://www.kadokawa.co.jp/product/201112000082/,ライトノベル,9784041003251
俺の彼女と幼なじみが修羅場すぎる,裕時悠示,GA文庫,https://ga.sbcr.jp/product/9784797363968/,ライトノベル,978-4-7973-6396-8
俺の脳内選択肢が、学園ラブコメを全力で邪魔している 1,春日部タケル,KADOKAWA,https://www.kadokawa.co.jp/product/301305000532/,ライトノベル,9784047290297
俺の脳内選択肢が、学園ラブコメを全力で邪魔している 2,春日部タケル,KADOKAWA,https://www.kadokawa.co.jp/product/301308001293/,ライトノベル,9784047292055
俺の脳内選択肢が、学園ラブコメを全力で邪魔している 3,春日部タケル,KADOKAWA,https://www.kadokawa.co.jp/product/301404001145/,ライトノベル,9784047296954
俺の脳内選択肢が、学園ラブコメを全力で邪魔している 4,春日部タケル,KADOKAWA,https://www.kadokawa.co.jp/product/301409000519/,ライトノベル,9784047300613
俺の脳内選択肢が、学園ラブコメを全力で邪魔している 5,春日部タケル,KADOKAWA,https://www.kadokawa.co.jp/product/301504000908/,ライトノベル,9784047305557
俺の脳内選択肢が、学園ラブコメを全力で邪魔している 6,春日部タケル,KADOKAWA,https://www.kadokawa.co.jp/product/321303000041/,ライトノベル,9784041010228
小説　君の名は。,新海誠,KADOKAWA,https://www.kadokawa.co.jp/product/321603000121/,ライトノベル,9784041026229
サノバウィッチ,季月えりか,KADOKAWA,https://www.kadokawa.co.jp/product/301501001487/,コミック,9784040672892
継母の連れ子が元カノだった 昔の恋が終わってくれない,紙城境介,KADOKAWA スニーカー文庫,https://sneakerbunko.jp/product/motokano/321808000429.html,ライトノベル,9784041076842
継母の連れ子が元カノだった２ たとえ恋人じゃなくたって,紙城境介,KADOKAWA スニーカー文庫,https://sneakerbunko.jp/product/motokano/321901000552.html,ライトノベル,9784041082553
継母の連れ子が元カノだった３ 幼馴染みはやめておけ,紙城境介,KADOKAWA スニーカー文庫,https://sneakerbunko.jp/product/motokano/321901000561.html,ライトノベル,9784041082645
継母の連れ子が元カノだった４ ファースト・キスが布告する,紙城境介,KADOKAWA スニーカー文庫,https://sneakerbunko.jp/product/motokano/321911000108.html,ライトノベル,9784041091647
継母の連れ子が元カノだった５ あなたはこの世にただ一人,紙城境介,KADOKAWA スニーカー文庫,https://sneakerbunko.jp/product/motokano/321911000109.html,ライトノベル,9784041091654
継母の連れ子が元カノだった６ あのとき言えなかった六つのこと,紙城境介,KADOKAWA スニーカー文庫,https://sneakerbunko.jp/product/motokano/322010000188.html,ライトノベル,9784041110430
継母の連れ子が元カノだった７ もう少しだけこのままで,紙城境介,KADOKAWA スニーカー文庫,https://sneakerbunko.jp/product/motokano/322010000189.html,ライトノベル,9784041110447
継母の連れ子が元カノだった８ そろそろ本気を出してみろ,紙城境介,KADOKAWA スニーカー文庫,https://sneakerbunko.jp/product/motokano/322106001158.html,ライトノベル,9784041119532
継母の連れ子が元カノだった９ プロポーズじゃ物足りない,紙城境介,KADOKAWA スニーカー文庫,https://sneakerbunko.jp/product/motokano/322106001159.html,ライトノベル,9784041119549
継母の連れ子が元カノだった10 手を伸ばせれば君がいる,紙城境介,KADOKAWA スニーカー文庫,https://sneakerbunko.jp/product/motokano/322211000113.html,ライトノベル,9784041134580
平良深姉妹はどっちもヤんでる (1),金子ある,百合姫コミックス,https://amzn.asia/d/ihaoI8m,コミック,978-4758025416
「キスなんてできないでしょ？」と挑発する生意気な幼馴染をわからせてやったら、予想以上にデレた,桜木桜,GA文庫,https://ga.sbcr.jp/product/9784815618742/,ライトノベル,978-4-8156-1874-2
妹さえいればいい。,平坂読,ガガガ文庫,https://bookwalker.jp/deec68bdb8-d93b-4663-a610-dabe814c90ab/,ライトノベル,978-4094515077
妹さえいればいい。 2,平坂読,ガガガ文庫,https://bookwalker.jp/de7c656bf5-b1a5-4f2d-91bb-e91d1d1117a2/,ライトノベル,978-4094515602
妹さえいればいい。 3,平坂読,ガガガ文庫,https://bookwalker.jp/de6ee3eba0-c38f-4f90-af4e-a6254b2afb33/,ライトノベル,978-4094515800
妹さえいればいい。 4,平坂読,ガガガ文庫,https://bookwalker.jp/de0ac9a89e-a7ae-4907-8367-6480e009f9c4/,ライトノベル,978-4094515985
妹さえいればいい。 5,平坂読,ガガガ文庫,https://bookwalker.jp/dea69c0bda-55d4-4768-becd-a3a941264fff/,ライトノベル,978-4094516180
妹さえいればいい。 6,平坂読,ガガガ文庫,https://bookwalker.jp/deaaeddc68-7034-43db-be3d-b4d7ee04e5fc/,ライトノベル,978-4094516463
妹さえいればいい。 7,平坂読,ガガガ文庫,https://bookwalker.jp/de554091e8-df0a-4c9e-950f-92324073597d/,ライトノベル,978-4094516777
妹さえいればいい。 8,平坂読,ガガガ文庫,https://bookwalker.jp/de621503a1-f26d-49ce-8034-10a0f6788090/,ライトノベル,978-4094516975
妹さえいればいい。 9,平坂読,ガガガ文庫,https://bookwalker.jp/de1bbbfb32-0cc6-4f31-ac2c-374944cf938c/,ライトノベル,978-4094517194
妹さえいればいい。 10,平坂読,ガガガ文庫,https://bookwalker.jp/de3816c2bc-f2bc-42b8-ae91-30633dd07193/,ライトノベル,978-4094517422
妹さえいればいい。 11,平坂読,ガガガ文庫,https://bookwalker.jp/dec7ac0c34-3dc6-4f8e-b11b-08401a100ebd/,ライトノベル,978-4094517651
やはり俺の青春ラブコメはまちがっている。,渡航,ガガガ文庫,https://shogakukan-comic.jp/book?isbn=9784094512625,ライトノベル,9784094512625
やはり俺の青春ラブコメはまちがっている。 2,渡航,ガガガ文庫,https://shogakukan-comic.jp/book?isbn=9784094512861,ライトノベル,9784094512861
やはり俺の青春ラブコメはまちがっている。 3,渡航,ガガガ文庫,https://shogakukan-comic.jp/book?isbn=9784094513042,ライトノベル,9784094513042
やはり俺の青春ラブコメはまちがっている。 4,渡航,ガガガ文庫,https://shogakukan-comic.jp/book?isbn=9784094513325,ライトノベル,9784094513325
やはり俺の青春ラブコメはまちがっている。 5,渡航,ガガガ文庫,https://shogakukan-comic.jp/book?isbn=9784094513561,ライトノベル,9784094513561
やはり俺の青春ラブコメはまちがっている。 6,渡航,ガガガ文庫,https://shogakukan-comic.jp/book?isbn=9784094513806,ライトノベル,9784094513806
やはり俺の青春ラブコメはまちがっている。 6.5,渡航,ガガガ文庫,https://shogakukan-comic.jp/book?isbn=9784094515015,ライトノベル,9784094515015
やはり俺の青春ラブコメはまちがっている。 7,渡航,ガガガ文庫,https://shogakukan-comic.jp/book?isbn=9784094514025,ライトノベル,9784094514025
やはり俺の青春ラブコメはまちがっている。 8,渡航,ガガガ文庫,https://shogakukan-comic.jp/book?isbn=9784094514513,ライトノベル,9784094514513
やはり俺の青春ラブコメはまちがっている。 9,渡航,ガガガ文庫,https://shogakukan-comic.jp/book?isbn=9784094514827,ライトノベル,9784094514827
やはり俺の青春ラブコメはまちがっている。 10,渡航,ガガガ文庫,https://shogakukan-comic.jp/book?isbn=9784094515237,ライトノベル,9784094515237
やはり俺の青春ラブコメはまちがっている。 10.5,渡航,ガガガ文庫,https://shogakukan-comic.jp/book?isbn=9784094515428,ライトノベル,9784094515428
やはり俺の青春ラブコメはまちがっている。 11,渡航,ガガガ文庫,https://shogakukan-comic.jp/book?isbn=9784094515589,ライトノベル,9784094515589
やはり俺の青春ラブコメはまちがっている。 14,渡航,ガガガ文庫,https://shogakukan-comic.jp/book?isbn=9784094517811,ライトノベル,9784094517811
やはり俺の青春ラブコメはまちがっている。 14.5,渡航,ガガガ文庫,https://shogakukan-comic.jp/book?isbn=9784094530049,ライトノベル,9784094530049
恋と嘘 (1),ムサヲ,講談社コミックス,https://kc.kodansha.co.jp/product?item=0000019355,コミック,978-4-06-395284-1
銀のアンカー 1,関達也,ヤングジャンプコミックス,https://www.shueisha.co.jp/books/items/contents.html?jdcn=08859630859630315501,コミック,978-4088596303
銀のアンカー 2,関達也,ヤングジャンプコミックス,https://www.shueisha.co.jp/books/items/contents.html?jdcn=08859651859630315501,コミック,978-4088596518
銀のアンカー 3,関達也,ヤングジャンプコミックス,https://www.shueisha.co.jp/books/items/contents.html?jdcn=08859675859630315501,コミック,978-4088596754
銀のアンカー 4,関達也,ヤングジャンプコミックス,https://www.shueisha.co.jp/books/items/contents.html?jdcn=08859686859630315501,コミック,978-4088596860
銀のアンカー 5,関達也,ヤングジャンプコミックス,https://www.shueisha.co.jp/books/items/contents.html?jdcn=08859735859630315501,コミック,978-4088597355
銀のアンカー 6,関達也,ヤングジャンプコミックス,https://www.shueisha.co.jp/books/items/contents.html?jdcn=08859749859630315501,コミック,978-4088597492
銀のアンカー 7,関達也,ヤングジャンプコミックス,https://www.shueisha.co.jp/books/items/contents.html?jdcn=08859774859630315501,コミック,978-4088597744
銀のアンカー 8,関達也,ヤングジャンプコミックス,https://www.shueisha.co.jp/books/items/contents.html?jdcn=08859804859630315501,コミック,978-4088598048
物理のエッセンス［力学・波動］－四訂版－,浜島清利,河合出版,https://www.kawai-publishing.jp/book/?isbn=978-4-7772-1355-9,数理,978-4-7772-1355-9
からかい上手の高木さん 1,山本崇一朗,小学館コミック,https://shogakukan-comic.jp/book?isbn=9784091250155,コミック,9784091250155
からかい上手の高木さん 2,山本崇一朗,小学館コミック,https://shogakukan-comic.jp/book?isbn=9784091255273,コミック,9784091255273
ゼロから学ぶ統計解析,小寺平治,講談社サイエンティフィク,https://www.kspub.co.jp/book/detail/1546561.html,数理,978-4-06-154656-1
日経Linux 2022年9月号,日経Linux,日経BP,https://info.nikkeibp.co.jp/media/LIN/atcl/mag/072900070/,技術,
ゼロからのOS自作入門,内田公太,マイナビ出版,https://book.mynavi.jp/ec/products/detail/id=121220,技術,978-4839975869
分散システム 第2版,水野忠則 (監修)、石田賢治、小林真也、佐藤文明、中條直也、寺島美昭、南角茂樹、宮内直人、山口弘純、山下昭裕、水野忠則,共立出版,https://www.kyoritsu-pub.co.jp/book/b10003201.html,技術,9784320124493
"キタミ式イラストIT塾
基本情報技術者 令和02年",きたみりゅうじ,技術評論社,https://gihyo.jp/book/2019/978-4-297-11021-5,技術,978-4-297-11021-5
